model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen3-32B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,5120,2048,151936,151936,False,False,0.36061195682115454,0.7961714544309987,73.11017608642578,0.050476349890232086,0.6069683715976657,0.6047772692823035,48.8759880065918,0.2712674140930176
Qwen3-32B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,5120,4096,151936,151936,False,False,0.346018000310786,0.8072243127504815,83.4974594116211,0.044399771839380264,0.561128833247373,0.6580281267941617,54.82027816772461,0.18511898815631866
Qwen3-30B-A3B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2048,4096,151936,151936,False,False,0.26547893651783816,0.8554784500962236,23.90822982788086,0.03307721018791199,0.38781600946086625,0.7771133577861825,32.56263732910156,0.21670304238796234
Gemma-4-31B,Gemma-4-31B-Instruct,task1_base_instruct,id,262120,24000,5376,5376,262144,262144,True,True,0.8251545596746241,0.4099404338843506,75.54335021972656,0.29539382457733154,0.8251545596746241,0.4099404338843506,75.54335021972656,0.29539382457733154
Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,task2_model_series,id,151643,24000,896,2048,151936,151936,True,True,0.22902157908017529,0.8449228211201423,39.63200759887695,0.18859006464481354,0.22902157908017529,0.8449228211201423,39.63200759887695,0.18859006464481354
Qwen2.5-1.5B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,1536,5120,151936,152064,True,False,0.18654585180887617,0.9005578100924173,22.378881454467773,0.23377995193004608,0.2002441581509986,0.8839866156240865,23.978717803955078,0.17618700861930847
Qwen3.5-0.8B-Instruct,Qwen3.5-4B-Instruct,task2_model_series,id,248044,24000,1024,2560,248320,248320,True,True,0.24357920902664953,0.8057278423269439,16.420324325561523,0.11140753328800201,0.24357920902664953,0.8057278423269439,16.420324325561523,0.11140753328800201
Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,3584,8192,152064,152064,False,False,0.3113298611332118,0.8280828914454609,61.756797790527344,0.021776026114821434,0.2823146746616825,0.8257704824083465,44.7611198425293,0.23888835310935974
Qwen3.5-0.8B-Instruct,Qwen3.5-9B-Instruct,task2_model_series,id,248044,24000,1024,4096,248320,248320,True,False,0.13843009845157672,0.9229499791918101,18.087099075317383,0.1532718688249588,0.1841187331004055,0.8661191695715021,22.713590621948242,0.1556060016155243
Qwen3.5-2B-Instruct,Qwen3.5-4B-Instruct,task2_model_series,id,248044,24000,2048,2560,248320,248320,True,True,0.379698256296622,0.7298969536539306,27.33953285217285,0.0930178090929985,0.379698256296622,0.7298969536539306,27.33953285217285,0.0930178090929985
Qwen3-0.6B,Qwen3-32B,task2_model_series,id,151643,24000,1024,5120,151936,151936,True,False,0.1566121007146244,0.9084144465954519,18.06110382080078,0.39523833990097046,0.14703983353525507,0.9115478974251399,19.09979820251465,0.19026270508766174
Qwen3.5-4B-Instruct,Qwen3.5-9B-Instruct,task2_model_series,id,248044,24000,2560,4096,248320,248320,True,False,0.23035643531006267,0.8723208035073755,35.53233337402344,0.1642778366804123,0.4170684816699822,0.7317888271764725,51.21511459350586,0.13702145218849182
Qwen3.5-0.8B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,1024,5120,248320,248320,True,False,0.12904862019789165,0.9285843929098689,18.06786346435547,0.15645213425159454,0.1607092913873842,0.8855777922263948,21.58757781982422,0.1567608267068863
Qwen3.5-2B-Instruct,Qwen3.5-9B-Instruct,task2_model_series,id,248044,24000,2048,4096,248320,248320,True,False,0.19360228291645964,0.8929229336194368,28.946990966796875,0.15676841139793396,0.2985133396397931,0.8030984157373151,38.69589614868164,0.14727409183979034
Qwen3-1.7B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2048,4096,151936,151936,True,False,0.2391455914503594,0.8706910181810703,14.294973373413086,0.13618230819702148,0.31435219592243757,0.8224052495455602,21.97735023498535,0.2024586945772171
Qwen3.5-2B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,2048,5120,248320,248320,True,False,0.18382406534481155,0.8988976694985565,29.172164916992188,0.1575569063425064,0.26590088173948156,0.8281556756749262,37.06821060180664,0.14480160176753998
Qwen3-8B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,4096,2048,151936,151936,False,False,0.3323187202825051,0.8136242049257252,34.19176483154297,0.04590023308992386,0.5815779941608392,0.6240294837210119,32.914363861083984,0.11665624380111694
Qwen3.5-9B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,4096,5120,248320,248320,False,False,0.34367187860956916,0.8061330924251137,38.63458251953125,0.0552733913064003,0.5736294385934699,0.6313781463416086,49.19424057006836,0.07231799513101578
Qwen3.5-0.8B-Instruct,Qwen3.5-2B-Instruct,task2_model_series,id,248044,24000,1024,2048,248320,248320,True,True,0.3209043623301534,0.7424761966184539,18.845321655273438,0.109671950340271,0.3209043623301534,0.7424761966184539,18.845321655273438,0.109671950340271
Qwen3.5-4B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,2560,5120,248320,248320,True,False,0.21799297126475492,0.8799164458811625,35.71902084350586,0.16842038929462433,0.355411045424331,0.7763723246192644,47.94332504272461,0.14269885420799255
Qwen3.5-35B-A3B-Instruct,Qwen3.5-122B-A10B-Instruct,task2_model_series,id,248044,24000,2048,3072,248320,248320,False,False,0.2854426924694746,0.8398675424371783,26.192035675048828,0.06480508297681808,0.4596728977384954,0.6899678441927484,30.273412704467773,0.1401512771844864
Gemma-2-2B-Instruct,Gemma-2-9B-Instruct,task2_model_series,id,255993,24000,2304,3584,256000,256000,True,True,0.4319945268456522,0.6620539092951304,37.74248123168945,0.7721481919288635,0.4319945268456522,0.6620539092951304,37.74248123168945,0.7721481919288635
Gemma-3-1B-Instruct,Gemma-3-4B-Instruct,task2_model_series,string,262137,24000,1152,2560,262144,262208,True,True,0.26834621164699646,0.8407724041682761,18.373075485229492,0.16292636096477509,0.26834621164699646,0.8407724041682761,18.373075485229492,0.16292636096477509
Gemma-2-2B-Instruct,Gemma-2-27B-Instruct,task2_model_series,id,255993,24000,2304,4608,256000,256000,True,True,0.24172089580923928,0.8610897429276003,20.499425888061523,0.34765616059303284,0.24172089580923928,0.8610897429276003,20.499425888061523,0.34765616059303284
Qwen3.5-35B-A3B-Instruct,Qwen3.5-397B-A17B-Instruct,task2_model_series,id,248044,24000,2048,4096,248320,248320,False,False,0.27211693275656146,0.8488391816611375,28.605852127075195,0.06912937015295029,0.40401176131749417,0.7598408755027103,42.069793701171875,0.12026114016771317
Gemma-3-1B-Instruct,Gemma-3-12B-Instruct,task2_model_series,string,262137,24000,1152,3840,262144,262208,True,True,0.23622087815468507,0.8662378889646747,16.685340881347656,0.167927548289299,0.23622087815468507,0.8662378889646747,16.685340881347656,0.167927548289299
