subset,model,model_group,matrix,mean,var,min,max,role,tied,vocab_size,hidden_dim
base_instruct,Gemma-4-E2B-Instruct,gemma4,E,1.193636178970337,0.0059604886919260025,0.8757172226905823,2.009485960006714,instruct,True,262144,1536
base_instruct,Gemma-4-E2B-Instruct,gemma4,U,1.193636178970337,0.0059604886919260025,0.8757172226905823,2.009485960006714,instruct,True,262144,1536
base_instruct,Gemma-4-E4B,gemma4,E,0.9999985694885254,3.827091976660313e-09,0.9991270303726196,1.0005927085876465,base,True,262144,2560
base_instruct,Gemma-4-E4B,gemma4,U,0.9999985694885254,3.827091976660313e-09,0.9991270303726196,1.0005927085876465,base,True,262144,2560
base_instruct,Gemma-4-E4B-Instruct,gemma4,E,1.2063524723052979,0.006973818875849247,0.8798456192016602,1.7347546815872192,instruct,True,262144,2560
base_instruct,Gemma-4-E4B-Instruct,gemma4,U,1.2063524723052979,0.006973818875849247,0.8798456192016602,1.7347546815872192,instruct,True,262144,2560
base_instruct,Llama-3.1-70B-Base,llama,E,0.8177502751350403,0.014332074671983719,2.491706982254982e-05,1.1082264184951782,base,False,128256,8192
base_instruct,Llama-3.1-70B-Base,llama,U,0.9571791291236877,0.02163834497332573,0.3590087592601776,1.8337916135787964,base,False,128256,8192
base_instruct,Llama-3.1-70B-Instruct,llama,E,0.8143834471702576,0.014210724271833897,2.4776472855592147e-05,1.1035079956054688,instruct,False,128256,8192
base_instruct,Llama-3.1-70B-Instruct,llama,U,0.9435045123100281,0.021250318735837936,0.34986865520477295,1.8211060762405396,instruct,False,128256,8192
base_instruct,Llama-3.1-8B,llama,E,0.6741189956665039,0.007111048325896263,2.0047253269492893e-21,0.9349308609962463,base,False,128256,4096
base_instruct,Llama-3.1-8B,llama,U,0.916771411895752,0.016304710879921913,0.4293123483657837,1.7924801111221313,base,False,128256,4096
base_instruct,Llama-3.1-8B-Instruct,llama,E,0.671326756477356,0.007056041620671749,1.9935101230141984e-21,0.9312893152236938,instruct,False,128256,4096
base_instruct,Llama-3.1-8B-Instruct,llama,U,0.9043439030647278,0.01590091362595558,0.41486555337905884,1.7802814245224,instruct,False,128256,4096
base_instruct,Llama-3.2-1B,llama,E,0.9870073199272156,0.008667439222335815,0.5442078709602356,1.3783626556396484,base,True,128256,2048
base_instruct,Llama-3.2-1B,llama,U,0.9870073199272156,0.008667439222335815,0.5442078709602356,1.3783626556396484,base,True,128256,2048
base_instruct,Llama-3.2-1B-Instruct,llama,E,0.9297938346862793,0.008283158764243126,0.521459698677063,1.3203293085098267,instruct,True,128256,2048
base_instruct,Llama-3.2-1B-Instruct,llama,U,0.9297938346862793,0.008283158764243126,0.521459698677063,1.3203293085098267,instruct,True,128256,2048
base_instruct,Llama-3.2-3B,llama,E,1.1474523544311523,0.013515756465494633,0.639019787311554,1.5485976934432983,base,True,128256,3072
base_instruct,Llama-3.2-3B,llama,U,1.1474523544311523,0.013515756465494633,0.639019787311554,1.5485976934432983,base,True,128256,3072
base_instruct,Llama-3.2-3B-Instruct,llama,E,1.0861297845840454,0.012782042846083641,0.622124969959259,1.4694583415985107,instruct,True,128256,3072
