series,model_a,model_b,source_a,source_b,selected_a,selected_b
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5-1.5B,Qwen2.5-72B-Base,Qwen2.5-1.5B-Instruct,Qwen2.5-72B-Instruct
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5-3B,Qwen2.5-14B,Qwen2.5-3B-Instruct,Qwen2.5-14B-Instruct
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5-3B,Qwen2.5-32B,Qwen2.5-3B-Instruct,Qwen2.5-32B-Instruct
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5-3B,Qwen2.5-72B-Base,Qwen2.5-3B-Instruct,Qwen2.5-72B-Instruct
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-7B-Instruct,Qwen2.5-14B-Instruct
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5-7B,Qwen2.5-32B,Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5-7B,Qwen2.5-72B-Base,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct
qwen2.5,Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct
qwen2.5,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5-14B,Qwen2.5-72B-Base,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct
qwen2.5,Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5-32B,Qwen2.5-72B-Base,Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct
qwen3,Qwen3-0.6B,Qwen3-1.7B,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-0.6B,Qwen3-1.7B
qwen3,Qwen3-0.6B,Qwen3-4B,Qwen3-0.6B-Base,Qwen3-4B-Base,Qwen3-0.6B,Qwen3-4B
qwen3,Qwen3-0.6B,Qwen3-8B,Qwen3-0.6B-Base,Qwen3-8B-Base,Qwen3-0.6B,Qwen3-8B
qwen3,Qwen3-0.6B,Qwen3-14B,Qwen3-0.6B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-14B
qwen3,Qwen3-0.6B,Qwen3-32B,Qwen3-0.6B-Base,Qwen3-32B,Qwen3-0.6B,Qwen3-32B
qwen3,Qwen3-0.6B,Qwen3-30B-A3B,Qwen3-0.6B-Base,Qwen3-30B-A3B-Base,Qwen3-0.6B,Qwen3-30B-A3B
