model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-30B-A3B,Qwen3.6-35B-A3B,28,string,20000,5000000,2048,2048,151936,248320,False,False,0.3795098305560078,0.6996922094903761,0.7072681901773327,0.7425138477133136,0.7495775103422982,0.7674222242784968
Qwen3-30B-A3B,Qwen3.6-35B-A3B,24,string,20000,5000000,2048,2048,151936,248320,False,False,0.37969266734722806,0.7126837577620438,0.718593258453256,0.7509461965293893,0.7567230037701663,0.7731951705270522
Qwen3-30B-A3B,Qwen3.6-35B-A3B,30,string,20000,5000000,2048,2048,151936,248320,False,False,0.37953110274061097,0.713423193061543,0.7198649282720148,0.749995608566771,0.760194521038937,0.7760614669900443
Qwen3-30B-A3B,Qwen3.6-35B-A3B,29,string,20000,5000000,2048,2048,151936,248320,False,False,0.38239331274921523,0.7195655099077389,0.7253254906583082,0.7555872331224819,0.7586549840697021,0.7741282222758122
Qwen3-30B-A3B,Qwen3.6-35B-A3B,31,string,20000,5000000,2048,2048,151936,248320,False,False,0.379459033778727,0.711033464000955,0.717294993047083,0.7484128151849785,0.7560780537191885,0.7722108116546896
Qwen3-30B-A3B,Qwen3.6-35B-A3B,32,string,20000,5000000,2048,2048,151936,248320,False,False,0.3792908489121994,0.7166977109150123,0.722265080680692,0.7512465228337012,0.7608253330272542,0.7762051181405714
Qwen3-30B-A3B,Qwen3.6-35B-A3B,36,string,20000,5000000,2048,2048,151936,248320,False,False,0.3787428596276761,0.7063248463853368,0.7132386294072605,0.7513592063031306,0.7541746949871346,0.770969439833844
Qwen3-30B-A3B,Qwen3.6-35B-A3B,35,string,20000,5000000,2048,2048,151936,248320,False,False,0.3793364618446266,0.7063248111292283,0.713563289786274,0.7482140536632454,0.7529984025673834,0.7700362012432513
Qwen3-30B-A3B,Qwen3.6-35B-A3B,33,string,20000,5000000,2048,2048,151936,248320,False,False,0.378592038951069,0.7076769051495468,0.7136265849525373,0.7386910573010601,0.7522179617847942,0.7699569206092344
Qwen3-30B-A3B,Qwen3.6-35B-A3B,34,string,20000,5000000,2048,2048,151936,248320,False,False,0.37964017755956175,0.7096400749314591,0.7160039150646786,0.7462051045529094,0.7573670403492359,0.7727089752908228
Qwen3-30B-A3B,Qwen3.6-35B-A3B,37,string,20000,5000000,2048,2048,151936,248320,False,False,0.38006951202615613,0.7030500041114712,0.710185095933898,0.7446206493128555,0.7496039289196526,0.7672502609735157
Qwen3-30B-A3B,Qwen3.6-35B-A3B,38,string,20000,5000000,2048,2048,151936,248320,False,False,0.37985239508079427,0.7133216789569871,0.719317130171862,0.7463864534272228,0.7612186219656467,0.77738576756141
Qwen3-30B-A3B,Qwen3.6-35B-A3B,39,string,20000,5000000,2048,2048,151936,248320,False,False,0.380909998679852,0.7065228941208612,0.7132253049274634,0.7476487550979475,0.7575796740526081,0.7739447891393194
Qwen3-30B-A3B,Qwen3.6-35B-A3B,40,string,20000,5000000,2048,2048,151936,248320,False,False,0.3795826463962014,0.701297125268328,0.7073659396958019,0.7461549113500369,0.7550365218796118,0.770709762288746
Qwen3-30B-A3B,Qwen3.6-35B-A3B,43,string,20000,5000000,2048,2048,151936,248320,False,False,0.3795518124789323,0.7152847512257249,0.7207194138345352,0.7452969269945385,0.7577409970790365,0.7736150394333545
Qwen3-30B-A3B,Qwen3.6-35B-A3B,42,string,20000,5000000,2048,2048,151936,248320,False,False,0.377838422197269,0.706985107751887,0.7127766050760764,0.7415623920267036,0.7570994728211894,0.7736511872127411
Qwen3-30B-A3B,Qwen3.6-35B-A3B,41,string,20000,5000000,2048,2048,151936,248320,False,False,0.38078845043467296,0.7136075067529815,0.7195809111700499,0.7471395109360562,0.7612536211818766,0.7775831186206081
Qwen3-30B-A3B,Qwen3.6-35B-A3B,46,string,20000,5000000,2048,2048,151936,248320,False,False,0.3801557812622642,0.7153513650098832,0.7209887861239384,0.7517460218603322,0.758233807133909,0.7743407791170207
Qwen3-30B-A3B,Qwen3.6-35B-A3B,45,string,20000,5000000,2048,2048,151936,248320,False,False,0.37994722713625684,0.7107678202494653,0.7166314274922425,0.7535450089118126,0.7597792450025663,0.775867686473606
Qwen3-30B-A3B,Qwen3.6-35B-A3B,47,string,20000,5000000,2048,2048,151936,248320,False,False,0.3794777328837781,0.7164920595941219,0.7223825255229164,0.7487523218618519,0.7596963144414415,0.7754284311004126
Qwen3-30B-A3B,Qwen3.6-35B-A3B,44,string,20000,5000000,2048,2048,151936,248320,False,False,0.3771508825245086,0.706392858175014,0.7123549593485334,0.7462880123363457,0.7554204097902426,0.7715619402213051
Qwen3-30B-A3B,Qwen3.6-35B-A3B,48,string,20000,5000000,2048,2048,151936,248320,False,False,0.378408654702897,0.7013523546635052,0.7079095195866214,0.7420636253751439,0.7494408571307941,0.7679257167449539
Qwen3-30B-A3B,Qwen3.6-35B-A3B,52,string,20000,5000000,2048,2048,151936,248320,False,False,0.37985406003415817,0.7088099837859226,0.7146731283342646,0.7462185820456444,0.7601376561504117,0.7765528554172448
Qwen3-30B-A3B,Qwen3.6-35B-A3B,49,string,20000,5000000,2048,2048,151936,248320,False,False,0.3807943385846293,0.7173762566796177,0.7226489019762156,0.753644342529781,0.7619707260486576,0.7771732151910262
