model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen3-30B-A3B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2048,4096,151936,151936,False,False,0.26547893651783816,0.8554784500962236,23.908227920532227,0.033077023923397064,0.38781600946086625,0.7771133577861825,32.56263732910156,0.21670103073120117
Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,2048,3072,128256,128256,True,True,0.38455982247082676,0.7255623011258583,32.222774505615234,0.18636463582515717,0.38455982247082676,0.7255623011258583,32.222774505615234,0.18636463582515717
Qwen3.5-0.8B-Instruct,Qwen3.5-2B-Instruct,task2_model_series,id,248044,24000,1024,2048,248320,248320,True,True,0.32090441659771074,0.7424761669522565,18.845321655273438,0.1096729040145874,0.32090441659771074,0.7424761669522565,18.845321655273438,0.1096729040145874
Qwen3.5-0.8B-Instruct,Qwen3.5-4B-Instruct,task2_model_series,id,248044,24000,1024,2560,248320,248320,True,True,0.24357920902664953,0.8057278423269439,16.42032241821289,0.11140554398298264,0.24357920902664953,0.8057278423269439,16.42032241821289,0.11140554398298264
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,1536,3584,151936,152064,True,False,0.22549493149766375,0.8755956991568973,15.890578269958496,0.1821061670780182,0.20062327417961745,0.8609262170359891,13.42048168182373,0.1838172972202301
Qwen3.5-2B-Instruct,Qwen3.5-4B-Instruct,task2_model_series,id,248044,24000,2048,2560,248320,248320,True,True,0.37969831067112714,0.7298969216632206,27.339534759521484,0.09302037209272385,0.37969831067112714,0.7298969216632206,27.339534759521484,0.09302037209272385
Qwen2.5-7B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.273842107085821,0.8503259303159452,87.07252502441406,0.04867493733763695,0.3532014504246559,0.7980524458326671,72.89801788330078,0.27885767817497253
Qwen3.5-0.8B-Instruct,Qwen3.5-9B-Instruct,task2_model_series,id,248044,24000,1024,4096,248320,248320,True,False,0.1384301537452981,0.9229499495753276,18.087099075317383,0.15327267348766327,0.1841187331004055,0.8661191695715021,22.713592529296875,0.15560784935951233
Qwen3-0.6B,Qwen3-8B,task2_model_series,id,151643,24000,1024,4096,151936,151936,True,False,0.13593778399683298,0.9219920308270797,18.382740020751953,0.3579009771347046,0.18955912989203183,0.8770229620800799,25.447046279907227,0.21095259487628937
Qwen3.5-2B-Instruct,Qwen3.5-9B-Instruct,task2_model_series,id,248044,24000,2048,4096,248320,248320,True,False,0.19360233818325234,0.8929229030210196,28.946990966796875,0.1567661464214325,0.2985133396397931,0.8030984157373151,38.695892333984375,0.1472715139389038
Qwen3.5-4B-Instruct,Qwen3.5-9B-Instruct,task2_model_series,id,248044,24000,2560,4096,248320,248320,True,False,0.23035643531006267,0.8723208035073755,35.532344818115234,0.16427743434906006,0.4170684816699822,0.7317888271764725,51.21511459350586,0.13701887428760529
Qwen3.5-0.8B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,1024,5120,248320,248320,True,False,0.12904872373455933,0.9285843377158945,18.06786346435547,0.1564539074897766,0.1607092913873842,0.8855777922263948,21.587575912475586,0.15675866603851318
Qwen3.5-4B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,2560,5120,248320,248320,True,False,0.21799297126475492,0.8799164458811625,35.719024658203125,0.16842035949230194,0.35541108958582,0.7763722980242085,47.94333267211914,0.14269962906837463
Qwen3.5-9B-Instruct,Qwen3.5-27B-Instruct,task2_model_series,id,248044,24000,4096,5120,248320,248320,False,False,0.34367187860956916,0.8061330924251137,38.63459396362305,0.055273544043302536,0.5736294385934699,0.6313781463416086,49.194236755371094,0.07231903076171875
Qwen3.5-35B-A3B-Instruct,Qwen3.5-122B-A10B-Instruct,task2_model_series,id,248044,24000,2048,3072,248320,248320,False,False,0.2854426466187918,0.8398675693828825,26.192031860351562,0.06480536609888077,0.4596728977384954,0.6899678441927484,30.273408889770508,0.14015033841133118
Qwen3-1.7B,Qwen3-32B,task2_model_series,id,151643,24000,2048,5120,151936,151936,True,False,0.21663314730876382,0.875512810010115,17.278257369995117,0.3175172805786133,0.2548094260347421,0.8519407816657347,20.840192794799805,0.19485844671726227
Qwen3.5-35B-A3B-Instruct,Qwen3.5-397B-A17B-Instruct,task2_model_series,id,248044,24000,2048,4096,248320,248320,False,False,0.27211693275656146,0.8488391816611375,28.605852127075195,0.06912936270236969,0.40401187935560634,0.75984080025778,42.069793701171875,0.12025735527276993
Qwen3.5-122B-A10B-Instruct,Qwen3.5-397B-A17B-Instruct,task2_model_series,id,248044,24000,3072,4096,248320,248320,False,False,0.424424983276804,0.7548226564292684,37.698368072509766,0.053464796394109726,0.600214001816308,0.6222998761370262,62.550777435302734,0.15350525081157684
Qwen3-8B,Qwen3-14B,task2_model_series,id,151643,24000,4096,5120,151936,151936,False,False,0.31387461547061135,0.8201703345502096,50.50204086303711,0.04769274219870567,0.45433906514427647,0.7314287946247429,39.820762634277344,0.17877426743507385
Gemma-3-1B-Instruct,Gemma-3-4B-Instruct,task2_model_series,string,262137,24000,1152,2560,262144,262208,True,True,0.26834621164699646,0.8407724041682761,18.373065948486328,0.16293302178382874,0.26834621164699646,0.8407724041682761,18.373065948486328,0.16293302178382874
